Idade,Atrito,Viagem_negócios,Departamento,Distância_casa,Educação,Campo_educação,ID_funcionário,Stisfação_ambiente,Genero,Envolvimento_trabalho,Nível_trabalho,Função,Satisfação_trabalho,Status_civil,Salário,Qtd_empresas_trabalhadas,Hora_extra,Porcentacem_aumento_salário,Desempenho,Satisfação_relação,Qtd_opções_ações,Anos_trabalhando,Qtd_treinamentos,Equilibro_trabalho_pessoal,Anos_companhia,Anos_mesmo_cargo,Anos_pós_promoção,Anos_mesmo_gestor
35,Não,Raramente,Pesquisa & Desenvolvimento,1,3,Medicina,105,2,M,2,1,Pesquisador,3,Solteiro,2859,1,Não,18,3,1,0,6,3,3,6,4,0,4
55,Não,Raramente,Vendas,1,2,Ciências da vida,106,1,M,3,3,Executivo de vendas,4,Casado,10239,3,Não,14,3,4,1,24,4,3,1,0,1,0
38,Não,Não,Pesquisa & Desenvolvimento,6,3,Medicina,107,2,F,1,2,Pesquisador,4,Divorciado,5329,7,Sim,12,3,4,3,17,3,3,13,11,1,9
34,Não,Raramente,Pesquisa & Desenvolvimento,1,2,Medicina,110,1,M,3,2,Diretor de manufatura,2,Casado,4325,1,Não,15,3,3,0,5,2,3,5,2,1,3
56,Não,Raramente,Pesquisa & Desenvolvimento,7,3,Ciências da vida,112,4,M,1,3,Diretor de manufatura,4,Solteiro,7260,4,Não,11,3,1,0,37,3,2,6,4,0,2
23,Não,Raramente,Vendas,2,1,Curso técnico,113,3,M,3,1,Representante de vendas,1,Divorciado,2322,3,Não,13,3,3,1,3,3,3,0,0,0,0
51,Não,Raramente,Pesquisa & Desenvolvimento,9,4,Ciências da vida,116,4,M,3,1,Técnico de laboratório,4,Casado,2075,3,Não,23,4,2,2,10,4,3,4,2,0,3
30,Não,Raramente,Pesquisa & Desenvolvimento,2,3,Ciências da vida,117,3,M,2,2,Representante de saúde,4,Casado,4152,1,Não,19,3,1,3,11,3,3,11,10,10,8
46,Sim,Raramente,Vendas,9,2,Medicina,118,3,M,2,3,Executivo de vendas,4,Solteiro,9619,1,Não,16,3,4,0,9,3,3,9,8,4,7
40,Não,Frequentemente,Pesquisa & Desenvolvimento,1,4,Ciências da vida,119,3,M,2,4,Representante de saúde,2,Casado,13503,1,Não,22,4,4,1,22,3,2,22,3,11,11
51,Não,Raramente,Vendas,21,4,Marketing,120,3,M,3,2,Executivo de vendas,4,Solteiro,5441,0,Sim,22,4,4,0,11,2,1,10,7,1,0
30,Não,Raramente,Vendas,4,2,Medicina,121,3,F,2,2,Executivo de vendas,2,Divorciado,5209,1,Sim,12,3,2,3,11,4,2,11,8,2,7
46,Não,Frequentemente,Pesquisa & Desenvolvimento,1,3,Medicina,124,3,M,2,3,Representante de saúde,1,Casado,10673,2,Sim,13,3,3,1,21,5,2,10,9,9,5
32,Não,Raramente,Vendas,6,4,Medicina,125,2,M,3,2,Executivo de vendas,3,Solteiro,5010,1,Não,16,3,1,0,12,0,3,11,8,5,7
54,Não,Raramente,Pesquisa & Desenvolvimento,2,4,Curso técnico,126,1,F,3,3,Diretor de pesquisa,3,Casado,13549,9,Não,12,3,1,1,16,5,1,4,3,0,3
24,Não,Raramente,Vendas,3,2,Outro,128,1,F,3,2,Executivo de vendas,3,Casado,4999,0,Não,21,4,1,1,4,2,2,3,2,0,2
28,Não,Não,Vendas,4,3,Medicina,129,2,M,3,2,Executivo de vendas,3,Casado,4221,1,Não,15,3,2,0,5,3,4,5,4,0,4
58,Não,Raramente,Vendas,10,4,Medicina,131,4,M,3,4,Executivo de vendas,3,Solteiro,13872,0,Não,13,3,3,0,38,1,2,37,10,1,8
44,Não,Não,Pesquisa & Desenvolvimento,23,3,Medicina,132,2,M,3,2,Técnico de laboratório,2,Casado,2042,4,Não,12,3,3,1,17,3,4,3,2,1,2
37,Sim,Raramente,Recursos humanos,6,4,Recursos humanos,133,3,M,3,1,Recursos humanos,1,Divorciado,2073,4,Sim,22,4,4,0,7,3,3,3,2,0,2
32,Não,Raramente,Pesquisa & Desenvolvimento,1,1,Ciências da vida,134,4,M,3,1,Pesquisador,1,Solteiro,2956,1,Não,13,3,4,0,1,2,3,1,0,0,0
20,Sim,Frequentemente,Pesquisa & Desenvolvimento,6,3,Ciências da vida,137,4,F,2,1,Técnico de laboratório,4,Solteiro,2926,1,Sim,18,3,2,0,1,5,3,1,0,1,0
34,Não,Raramente,Pesquisa & Desenvolvimento,6,4,Outro,138,1,F,3,2,Pesquisador,3,Solteiro,4809,1,Não,14,3,3,0,16,3,3,16,13,2,10
37,Não,Não,Pesquisa & Desenvolvimento,2,2,Ciências da vida,139,3,M,2,2,Representante de saúde,4,Divorciado,5163,5,Não,14,3,4,1,17,2,4,1,0,0,0
59,Não,Não,Recursos humanos,2,4,Recursos humanos,140,3,F,2,5,Gerente,4,Casado,18844,9,Não,21,4,4,1,30,3,3,3,2,2,2
50,Não,Frequentemente,Pesquisa & Desenvolvimento,1,3,Ciências da vida,141,1,F,3,5,Diretor de pesquisa,2,Casado,18172,3,Sim,19,3,1,0,28,1,2,8,3,0,7
25,Sim,Raramente,Vendas,5,3,Marketing,142,3,M,2,2,Executivo de vendas,3,Solteiro,5744,1,Sim,11,3,4,0,6,1,3,6,4,0,3
25,Não,Raramente,Pesquisa & Desenvolvimento,7,1,Medicina,143,4,M,2,1,Pesquisador,4,Casado,2889,1,Não,11,3,3,2,2,2,3,2,2,2,1
22,Não,Raramente,Pesquisa & Desenvolvimento,15,3,Medicina,144,2,F,3,1,Técnico de laboratório,4,Solteiro,2871,1,Não,15,3,3,0,1,5,3,0,0,0,0
51,Não,Frequentemente,Pesquisa & Desenvolvimento,1,4,Medicina,145,1,F,2,3,Representante de saúde,1,Solteiro,7484,3,Não,20,4,3,0,23,1,2,13,12,12,8
34,Sim,Frequentemente,Pesquisa & Desenvolvimento,7,3,Ciências da vida,147,1,M,1,2,Técnico de laboratório,3,Solteiro,6074,1,Sim,24,4,4,0,9,3,3,9,7,0,6
54,Não,Não,Recursos humanos,26,3,Recursos humanos,148,4,F,4,4,Gerente,4,Solteiro,17328,2,Sim,12,3,3,0,23,3,3,5,3,4,4
24,Não,Raramente,Pesquisa & Desenvolvimento,18,1,Ciências da vida,150,2,M,3,1,Técnico de laboratório,3,Casado,2774,0,Não,12,3,3,1,6,2,3,5,3,1,2
34,Não,Raramente,Pesquisa & Desenvolvimento,6,4,Ciências da vida,151,3,F,2,2,Pesquisador,2,Divorciado,4505,6,Não,15,3,3,1,12,3,3,1,0,0,0
37,Não,Raramente,Vendas,3,3,Ciências da vida,152,3,M,3,3,Executivo de vendas,4,Solteiro,7428,2,Não,12,3,1,0,12,3,3,5,3,1,3
34,Não,Raramente,Pesquisa & Desenvolvimento,5,3,Medicina,153,3,F,2,3,Gerente,1,Solteiro,11631,2,Não,12,3,4,0,14,6,3,11,10,5,8
36,Não,Frequentemente,Vendas,11,2,Curso técnico,154,2,F,3,3,Executivo de vendas,4,Casado,9738,0,Não,14,3,3,1,10,6,3,9,7,2,8
36,Não,Raramente,Pesquisa & Desenvolvimento,3,2,Ciências da vida,155,1,F,3,1,Técnico de laboratório,4,Divorciado,2835,5,Não,22,4,1,1,7,2,3,1,0,0,0
43,Não,Frequentemente,Vendas,26,2,Ciências da vida,158,3,M,3,4,Gerente,4,Casado,16959,1,Sim,12,3,4,2,25,3,4,25,12,4,12
30,Não,Frequentemente,Pesquisa & Desenvolvimento,23,3,Ciências da vida,159,1,M,1,1,Pesquisador,3,Divorciado,2613,1,Não,25,4,3,3,10,2,2,10,7,0,9
33,Não,Não,Vendas,22,2,Marketing,160,3,M,3,2,Executivo de vendas,2,Casado,6146,0,Não,13,3,1,1,8,2,4,7,7,0,7
56,Sim,Raramente,Pesquisa & Desenvolvimento,14,4,Ciências da vida,161,2,F,3,1,Pesquisador,2,Casado,4963,9,Sim,18,3,1,3,7,2,3,5,4,4,3
51,Não,Raramente,Pesquisa & Desenvolvimento,6,3,Ciências da vida,162,1,M,3,5,Diretor de pesquisa,3,Solteiro,19537,7,Não,13,3,3,0,23,5,3,20,18,15,15
31,Sim,Raramente,Vendas,6,4,Ciências da vida,163,2,M,1,2,Executivo de vendas,3,Casado,6172,4,Sim,18,3,2,0,12,3,2,7,7,7,7
26,Não,Raramente,Pesquisa & Desenvolvimento,6,3,Outro,164,3,F,2,1,Pesquisador,2,Casado,2368,1,Não,19,3,3,0,5,3,2,5,4,4,3
58,Sim,Raramente,Pesquisa & Desenvolvimento,23,4,Medicina,165,4,F,3,3,Representante de saúde,4,Casado,10312,1,Não,12,3,4,1,40,3,2,40,10,15,6
19,Sim,Raramente,Vendas,22,1,Marketing,167,4,M,3,1,Representante de vendas,3,Solteiro,1675,1,Sim,19,3,4,0,0,2,2,0,0,0,0
22,Não,Raramente,Pesquisa & Desenvolvimento,2,1,Curso técnico,169,3,M,3,1,Técnico de laboratório,4,Casado,2523,0,Não,14,3,3,1,3,2,3,2,1,2,1
49,Não,Raramente,Pesquisa & Desenvolvimento,20,4,Medicina,170,3,F,3,2,Diretor de manufatura,1,Casado,6567,1,Não,14,3,3,0,16,2,2,15,11,5,11
43,Não,Frequentemente,Pesquisa & Desenvolvimento,28,3,Medicina,171,2,F,4,1,Pesquisador,3,Solteiro,4739,4,Não,12,3,4,0,18,2,3,3,2,1,2
50,Não,Frequentemente,Vendas,12,3,Marketing,174,3,F,3,3,Executivo de vendas,4,Solteiro,9208,4,Não,11,3,4,0,16,3,3,2,2,2,1
31,Sim,Raramente,Vendas,20,3,Ciências da vida,175,2,F,1,2,Executivo de vendas,3,Casado,4559,3,Sim,11,3,3,1,4,2,3,2,2,2,2
41,Não,Raramente,Vendas,9,1,Ciências da vida,176,3,M,3,3,Executivo de vendas,3,Divorciado,8189,3,Sim,13,3,3,1,12,2,3,9,7,0,7
26,Não,Raramente,Recursos humanos,25,1,Ciências da vida,177,3,F,3,1,Recursos humanos,3,Casado,2942,1,Não,23,4,4,1,8,3,3,8,7,5,7
36,Não,Raramente,Pesquisa & Desenvolvimento,6,2,Medicina,178,2,M,3,2,Diretor de manufatura,2,Divorciado,4941,6,Não,20,4,4,2,7,0,3,3,2,0,1
51,Sim,Frequentemente,Pesquisa & Desenvolvimento,8,4,Ciências da vida,179,1,M,1,3,Diretor de manufatura,4,Solteiro,10650,2,Não,15,3,4,0,18,2,3,4,2,0,3
39,Não,Raramente,Vendas,4,4,Ciências da vida,182,4,F,2,2,Executivo de vendas,3,Casado,5902,4,Não,14,3,3,1,17,1,4,15,11,5,9
25,Não,Raramente,Vendas,28,3,Ciências da vida,183,1,M,2,2,Executivo de vendas,3,Casado,8639,2,Não,18,3,4,0,6,3,3,2,2,2,2
30,Não,Raramente,Recursos humanos,9,3,Recursos humanos,184,3,M,3,2,Recursos humanos,4,Casado,6347,0,Sim,19,3,4,0,12,2,1,11,9,4,7
32,Sim,Raramente,Pesquisa & Desenvolvimento,9,3,Medicina,190,1,F,3,1,Técnico de laboratório,1,Solteiro,4200,7,Não,22,4,1,0,10,2,4,5,4,0,4
45,Não,Raramente,Pesquisa & Desenvolvimento,29,3,Medicina,192,3,M,3,1,Pesquisador,4,Solteiro,3452,5,Não,13,3,2,0,9,2,2,6,5,0,3
38,Não,Raramente,Pesquisa & Desenvolvimento,3,5,Curso técnico,193,4,F,3,2,Pesquisador,3,Solteiro,4317,3,Sim,20,4,2,0,19,2,3,3,2,2,2
30,Não,Raramente,Pesquisa & Desenvolvimento,18,3,Ciências da vida,194,1,F,3,1,Pesquisador,3,Solteiro,2632,1,Não,14,3,3,0,5,4,2,5,4,0,4
32,Não,Frequentemente,Vendas,9,2,Medicina,195,4,M,1,2,Executivo de vendas,4,Divorciado,4668,0,Não,17,3,4,3,9,2,4,8,7,0,7
30,Não,Raramente,Pesquisa & Desenvolvimento,5,3,Curso técnico,197,4,F,3,1,Pesquisador,1,Divorciado,3204,5,Não,14,3,4,1,8,3,3,3,2,2,2
30,Não,Raramente,Pesquisa & Desenvolvimento,2,1,Medicina,198,2,M,2,1,Técnico de laboratório,4,Solteiro,2720,0,Não,13,3,4,0,6,3,3,5,3,1,2
41,Não,Frequentemente,Pesquisa & Desenvolvimento,10,3,Ciências da vida,199,4,M,2,4,Gerente,1,Divorciado,17181,4,Não,13,3,2,1,21,2,2,7,6,7,7
41,Não,Raramente,Pesquisa & Desenvolvimento,9,4,Ciências da vida,200,3,M,3,1,Técnico de laboratório,1,Casado,2238,2,Não,21,4,4,1,7,2,3,5,0,1,4
19,Não,Raramente,Pesquisa & Desenvolvimento,3,1,Medicina,201,2,F,3,1,Técnico de laboratório,2,Solteiro,1483,1,Não,14,3,4,0,1,3,3,1,0,0,0
